MJD,FREQUENCY,NPROFILES,FREQUENCY_ERR,FDOT,FDOT_ERR,AMPLITUDE,AMPSIG

54694.095137195545,0.0,220,1.3663873232871993,-1.2982423206308177e-12,0.0,0.2631758749485016,0.020351791754364967

54697.00474612148,-0.000754372320066875,250,1.4008342930083018,-1.2982423219699666e-12,0.0,0.24973157048225403,0.020412776619195938

54701.643938699075,-0.004492523041539038,359,2.0002640610528033,-1.2982423217156114e-12,0.0,0.16291414201259613,0.016385627910494804

54704.54489644907,-0.0045025935866416875,405,1.0529983285323397,-1.2982423217468696e-12,0.0,0.2320680022239685,0.014677847735583782

54707.45584257504,-0.00595887383847027,334,1.1003719180280314,-1.2982423212762008e-12,0.0,0.2685745656490326,0.016545254737138748

54712.083061773614,-0.008219940376084088,266,1.7761932724624785,-1.2982423214149902e-12,0.0,0.18189887702465057,0.017540646716952324

54715.0008815109,-0.007158970676940852,267,1.104039739630025,-1.2982423214707067e-12,0.0,0.27970439195632935,0.018139740452170372

54717.922524166155,-0.009392808947549736,267,1.0811395156906656,-1.2982423212242612e-12,0.0,0.30736202001571655,0.01842554099857807

54722.52988886731,-0.011617622184023112,93,1.8956993130814226,-1.2982423219545404e-12,0.0,0.22256986796855927,0.03250911086797714

54725.43948175349,-0.012105127983984262,243,1.4760038880012871,-1.2982423216377722e-12,0.0,0.2039402276277542,0.019059963524341583

54728.349497688585,-0.014381724241542944,164,2.140422310503709,-1.2982423214180598e-12,0.0,0.2694016993045807,0.023136382922530174

54732.99045193879,-0.015632274374701906,194,2.0002931933049695,-1.2982423210357043e-12,0.0,0.17266839742660522,0.020450381562113762

54735.91087864773,-0.01602593351382099,244,1.6458426443932694,-1.2982423216047942e-12,0.0,0.18560022115707397,0.01885971613228321

54738.831207531526,-0.019076547031424147,230,1.6907263500343106,-1.2982423212084226e-12,0.0,0.2029157131910324,0.019665900617837906

54743.426807452866,-0.02295688236519272,238,3.4963167649948446,-1.2982423215113087e-12,0.0,0.14171822369098663,0.0187524501234293

54746.3403857866,-0.02255253859506061,274,1.298267164884237,-1.2982423211627587e-12,0.0,0.26854565739631653,0.017639588564634323

54749.25766213414,-0.0227597413490828,299,1.3948559285381634,-1.2982423214461529e-12,0.0,0.2801005244255066,0.017590787261724472

54753.87514324896,-0.024626374369188134,355,1.4425174299503851,-1.2982423214640384e-12,0.0,0.23295079171657562,0.015568693168461323

54756.78796180699,-0.02404140034775431,349,0.8635383608179836,-1.2982423214596565e-12,0.0,0.2915026545524597,0.01647290214896202

54759.69363882576,-0.02496350618891505,330,0.8766807013671496,-1.2982423214480837e-12,0.0,0.3143869638442993,0.017183471471071243

54767.25175176396,-0.029819551124987242,249,2.5665914904493548,-1.2982423214140037e-12,0.0,0.1860581338405609,0.01931667886674404

54770.140639257705,-0.030081213210360943,223,2.418281894733809,-1.2982423215266042e-12,0.0,0.17818766832351685,0.021199889481067657

54774.79368971116,-0.03012573273410077,233,2.8949102670594584,-1.2982423215161445e-12,0.0,0.11840744316577911,0.019250767305493355

54777.67949068559,-0.033092054450509056,271,1.695560598591328,-1.298242321585875e-12,0.0,0.16209542751312256,0.01743030920624733

54780.59575288488,-0.03280352623726248,255,3.1189429705591465,-1.2982423214308942e-12,0.0,0.12179194390773773,0.017355801537632942

54785.24198975612,-0.03454262675098023,243,1.9236127002386638,-1.2982423212504158e-12,0.0,0.1386307030916214,0.016995461657643318

54788.124706723844,-0.03471674544005083,228,1.8346551655668009,-1.29824232126208e-12,0.0,0.14049766957759857,0.017930859699845314

54791.03337688605,-0.03791723272289735,222,2.140851336207561,-1.2982423215482923e-12,0.0,0.17230640351772308,0.01958906278014183

54809.02272540748,-0.04413316998558893,349,2.5016461790983158,-1.2982423216522505e-12,0.0,0.14172165095806122,0.015848886221647263

54819.56821538935,-0.04691930107214668,175,2.0926674437760084,-1.2982423214359712e-12,0.0,0.1600566953420639,0.02305707335472107

54843.287794721226,-0.05876434889280812,240,3.0471679224319814,4.74577747224843e-12,0.0,0.12405484169721603,0.019265253096818924

54853.725156561806,-0.043839773641124645,230,3.3380419495188107,4.74577747243465e-12,0.0,0.13033731281757355,0.021751681342720985

54871.916499310275,-0.008155655812127766,292,2.4034702050812484,4.745777472139505e-12,0.0,0.1406208723783493,0.01809324324131012

54874.615367493425,-0.0069066516676310275,249,2.275269110896261,4.4664102203915045e-12,0.0,0.13731637597084045,0.019864194095134735

54882.147032214976,-0.016877597581646607,260,1.6781189060566248,-2.1728697804527028e-12,0.0,0.16332845389842987,0.017865635454654694

54885.0567652088,-0.023055733122391408,247,1.9067775269832055,-2.172869780744945e-12,0.0,0.12362543493509293,0.018029576167464256

54892.59739117468,-0.026333648311939406,266,2.285975568838694,-2.1728697802969137e-12,0.0,0.12748904526233673,0.017222506925463676

54913.504846616146,-0.03455383023535996,348,3.0252843430389476,-2.1728697801773942e-12,0.0,0.10029038041830063,0.015942519530653954

54916.394381893726,-0.039645388497463414,390,2.5015461346811207,-2.1728697809838125e-12,0.0,0.08921752125024796,0.01484963484108448

54923.94499090167,-0.039702040663724215,295,1.1009672817863247,-2.172869780929654e-12,0.0,0.31796395778656006,0.017910413444042206

54934.42668164583,-0.048492399247098895,244,1.7053504564046307,-2.172869781459869e-12,0.0,0.1794406920671463,0.019818687811493874

54941.927098650485,-0.054158506448411706,266,1.6916563083668734,-2.1728697817137376e-12,0.0,0.11706086248159409,0.017565282061696053

54944.847501619886,-0.055649399883439955,267,1.102849722656174,-2.172869780609297e-12,0.0,0.23352140188217163,0.017416048794984818

54947.732361994305,-0.062119970775926805,228,0.5388574919606981,-2.1728697808643936e-12,0.0,0.36662760376930237,0.01867794618010521

54952.36629716963,-0.07139565304915207,246,3.2458981991112523,-2.1728697810344208e-12,0.0,0.162019282579422,0.01839841529726982

54955.27082152693,-0.0708394426503102,247,1.2635256041448883,-2.1728697810967328e-12,0.0,0.21265949308872223,0.018418332561850548

54973.26373224338,-0.08677387108120263,339,2.463769135374605,-2.1728697807117985e-12,0.0,0.10818846523761749,0.015582396648824215

54976.162051725856,-0.08630776496696203,275,2.2538823429840704,-2.1728697810545546e-12,0.0,0.12676040828227997,0.018926633521914482

54979.07319432641,-0.0868101696770929,260,2.5757455546226993,-2.1728697813605783e-12,0.0,0.15032030642032623,0.01874549314379692

55017.976853367734,-0.10258887725462025,273,2.1659270998952707,-2.172869782100592e-12,0.0,0.22924508154392242,0.01808413490653038

55020.876874806,-0.10546898806648865,297,0.8053090283510755,-2.172869779759953e-12,0.0,0.37795236706733704,0.017453424632549286

55025.513132147964,-0.10832543541462358,295,2.2372086050381768,-2.1728697808787973e-12,0.0,0.13771271705627441,0.017625002190470695

55028.398233001455,-0.10944054912640226,339,0.7369697385684049,-2.1728697817236335e-12,0.0,0.3972231149673462,0.01723254658281803

55031.30949568738,-0.11175854264459477,305,0.8518336613860811,-2.172869780646616e-12,0.0,0.40999332070350647,0.017806198447942734

55041.77953845155,-0.11892070437489705,255,1.899416446349278,-2.172869780672375e-12,0.0,0.12850992381572723,0.018292881548404694

55046.4257744519,-0.1223174470017858,265,2.4221768057941517,-2.1728697804835387e-12,0.0,0.14649711549282074,0.018907712772488594

55049.29529966119,-0.1220631671401104,247,1.1753348161391841,-2.1728697811806237e-12,0.0,0.27569013833999634,0.019439272582530975

55052.20515306831,-0.12478351544023158,219,1.5689012400343927,-2.172869781774343e-12,0.0,0.25935307145118713,0.02051553688943386

55056.84608325213,-0.1303218066476931,252,2.836006274264946,-2.1728697814565252e-12,0.0,0.11786400526762009,0.019268617033958435

55059.78995788648,-0.1284692612914074,216,2.061745618675559,-2.1728697781044998e-12,0.0,0.1565266251564026,0.020890582352876663

55062.6528683262,-0.1318968026525786,200,3.776611663397489,-2.172869782385719e-12,0.0,0.15531150996685028,0.02214002050459385

55083.54802953061,-0.14511280129348023,338,1.6013555637073296,-2.1728697818312417e-12,0.0,0.20036759972572327,0.017084207385778427

55091.1074968012,-0.14890010671988063,256,1.4370317558132228,-2.172869780861387e-12,0.0,0.17292532324790955,0.02005688287317753

55098.6368948131,-0.15758307127793356,230,2.36531661812478,-2.172869779697885e-12,0.0,0.1607215851545334,0.019545355811715126

55101.53448235678,-0.1581549696048771,259,0.693453472422334,-2.1728697808946515e-12,0.0,0.4002454876899719,0.018084300681948662

55111.981231938145,-0.1645980409455385,228,1.22006085234716,-2.1728697812925532e-12,0.0,0.35214337706565857,0.019166847690939903

55132.87616172748,-0.17154543726876803,369,1.7813680130984721,3.738048027549282e-12,0.0,0.17728565633296967,0.01706569828093052

55161.35910428167,-0.1575248541467473,217,2.813161472658976,-1.7059145671377953e-12,0.0,0.13174501061439514,0.020696086809039116

55164.218056882615,-0.16046058039612865,224,2.206188582931645,5.139328819817563e-13,0.0,0.21036332845687866,0.019617624580860138

55188.02756200077,-0.13526477807595788,328,3.002779465077765,5.358367625642991e-12,0.0,0.11609680950641632,0.017182033509016037

55192.68021205123,-0.12726244348970983,289,2.230863458407839,5.358367626232241e-12,0.0,0.14099273085594177,0.016552675515413284

55195.5644991319,-0.11798613619621358,256,1.4592824015835504,5.358367626070897e-12,0.0,0.1793433129787445,0.01700693368911743

55198.46928438694,-0.10808569624703192,272,0.9395483147045525,5.358367626096973e-12,0.0,0.275811105966568,0.016070108860731125

55203.1153568443,-0.09693696953019908,263,1.411019212582687,5.358367627292187e-12,0.0,0.193704292178154,0.015273853205144405

55206.0247611166,-0.09431029815864504,254,1.2550169969927083,5.358367625916822e-12,0.0,0.20841790735721588,0.016438106074929237

55208.94508321435,-0.08852507209941587,263,2.09922447425015,5.358367625216915e-12,0.0,0.16724418103694916,0.017509570345282555

55216.47366056424,-0.08939853878784322,263,1.6182639228645712,5.358367630701839e-12,0.0,0.18328306078910828,0.015441634692251682

55219.36492662773,-0.08205833880726983,260,1.1582305603496934,5.3583676259149015e-12,0.0,0.2534269392490387,0.015843670815229416

55224.01818654139,-0.07501642838858041,278,1.8384682221039839,5.358367624446634e-12,0.0,0.17619644105434418,0.016174882650375366

55226.89942217685,-0.06955309708886924,259,1.555210502601767,5.3583676286266685e-12,0.0,0.20278263092041016,0.01818733476102352

55229.808184463356,-0.06444787074188228,273,1.9554005348254577,5.3583676265972964e-12,0.0,0.18834593892097473,0.016944527626037598

55234.45580253991,-0.05569597871336108,351,2.1984889997384016,5.3583676295849056e-12,0.0,0.15256249904632568,0.016375457867980003

55237.34835390331,-0.05188293573389707,380,1.7922744177667482,5.35836762681594e-12,0.0,0.14968104660511017,0.016188977286219597

55240.2574434938,-0.050719175830503296,354,1.8478199592664168,5.358367627722889e-12,0.0,0.160345658659935,0.017281783744692802

55244.94617109597,-0.04466097648526432,316,2.087736987732569,5.358367625954371e-12,0.0,0.11810429394245148,0.015019543468952179

55247.79360192856,-0.04380754948960541,310,1.9302891018924129,5.35836762890536e-12,0.0,0.16258859634399414,0.015132173895835876

55250.70477847524,-0.039262687632642436,294,1.2129770254887262,5.35836762794242e-12,0.0,0.20775996148586273,0.0148398382589221

55255.35149097469,-0.028436527124625036,269,1.8115839850452176,5.3583676273260466e-12,0.0,0.17894095182418823,0.015421752817928791

55258.23631589919,-0.02493252918392472,241,1.2844219554608571,5.3583676279678305e-12,0.0,0.22785671055316925,0.01743120141327381

55261.14643343179,-0.016752498236426945,231,0.9578019444234087,5.3583676259613795e-12,0.0,0.2628418803215027,0.016321539878845215

55265.795455066436,-0.006262703662825914,238,1.8246008437472483,5.358367627451909e-12,0.0,0.18827752768993378,0.016871770843863487

55268.691704763056,-0.001612640178167038,243,0.989139579132825,5.3583676291341325e-12,0.0,0.24617114663124084,0.016830308362841606

55271.61177463157,0.007186749331571958,257,0.9832574221491086,5.358367626714924e-12,0.0,0.26380419731140137,0.016252104192972183

55276.258135993805,0.01879451017079413,266,1.1288003065601515,5.358367625279139e-12,0.0,0.24056541919708252,0.016053007915616035

55279.131938502775,0.02811918917761149,296,0.7034375215653199,5.3583676285881e-12,0.0,0.3228236138820648,0.01519102044403553

55282.04793699568,0.03937472543851608,300,0.5949036108177097,5.358367626500465e-12,0.0,0.31931814551353455,0.014961261302232742

55286.69332121103,0.05308633965030644,333,0.8047556576684656,5.358367628285924e-12,0.0,0.28179025650024414,0.014413840137422085

55289.60010639095,0.05979037880686354,349,0.6861181844897146,5.358367625144485e-12,0.0,0.3535575866699219,0.01470245886594057

55292.486026298146,0.0686496626984122,389,0.8623788261274967,5.358367628327633e-12,0.0,0.29770153760910034,0.015077047981321812

55297.13987129695,0.0785132469996594,351,1.6009889236556774,5.3583676286135516e-12,0.0,0.19361211359500885,0.014777152799069881

55300.02821579247,0.08221481141151835,303,1.2743579702600982,5.3583676263419254e-12,0.0,0.22123539447784424,0.015180353075265884

55302.95036750721,0.08700012434027622,293,1.1083916717780085,5.358367630368779e-12,0.0,0.24792711436748505,0.014996841549873352

55307.5973362443,0.09316199730199375,267,1.8249220090638119,5.358367622945452e-12,0.0,0.17365239560604095,0.015689248219132423

55310.46665631326,0.09856099934483697,251,1.9450860122560698,5.358367622357754e-12,0.0,0.1631503403186798,0.016839059069752693

55313.377108945395,0.10194945502678815,230,2.907874545599043,5.3583676281779635e-12,0.0,0.1058509424328804,0.017981240525841713

55318.04068147743,0.10678244286378775,231,1.9067712742071308,5.358367627445051e-12,0.0,0.1558828204870224,0.016856111586093903

55320.955760597244,0.1132812576095244,213,0.6274139252582245,5.358367628167535e-12,0.0,0.3673364520072937,0.016627294942736626

55323.82673632817,0.12329187055324059,239,0.67358328692535,5.358367628369378e-12,0.0,0.38135266304016113,0.016875192523002625

55328.50907939173,0.1364453788725124,238,0.9707608228382014,5.3583676249263916e-12,0.0,0.29826536774635315,0.018454251810908318

55331.36249895059,0.14436985595900448,251,0.7891858189168488,5.358367626355997e-12,0.0,0.2997089624404907,0.01770586334168911

55334.27563602578,0.1500958433441347,285,0.7805370216829033,5.358367626108504e-12,0.0,0.3203381896018982,0.017079805955290794

55338.940125862326,0.15724866181346098,284,3.108790735950606,5.3583676260579e-12,0.0,0.12905924022197723,0.018793178722262383

55341.80843599963,0.15925942890329675,346,2.914326557856839,5.3583676266355204e-12,0.0,0.09838573634624481,0.014444519765675068

55344.717113175,0.16430793720753384,375,1.6969303828773263,5.35836762843353e-12,0.0,0.18735483288764954,0.01349503081291914

55365.61623042331,0.1925574007821178,248,1.933390052499817,-4.7014382901546313e-23,0.0,0.13105817139148712,0.015792740508913994

55380.717153934514,0.190171120798587,236,2.601493633846985,-3.482077077838485e-21,0.0,0.1368626058101654,0.016262751072645187

55383.61673961852,0.19038732424006258,255,1.331922874214797,1.4681221455777422e-21,0.0,0.20899681746959686,0.015532203018665314

55386.52517457653,0.1904634819316673,287,1.6125939339417528,-2.4608697108468866e-21,0.0,0.21457889676094055,0.015425706282258034

55391.16503829107,0.18837552458597231,282,1.9714221366484708,1.7008095012896024e-21,0.0,0.2130427360534668,0.01694595068693161

55394.04520614868,0.18719721761360275,308,0.6518443740333169,-3.166794998387283e-22,0.0,0.40368279814720154,0.01628214120864868

55396.95335334243,0.18521766956083904,379,2.386780693086621,3.204614769938462e-22,0.0,0.09977516531944275,0.014951671473681927

55404.489680287916,0.18131117625835255,317,2.9370201559686393,9.072762571131785e-22,0.0,0.13642384111881256,0.016122763976454735

55407.40331788699,0.1807514153556838,291,3.931415903934976,2.2271269686386572e-21,0.0,0.0998334288597107,0.016418853774666786

55425.38954406234,0.18247532801188765,229,2.696027934234735,8.100901949125002e-12,0.0,0.13671374320983887,0.018828265368938446

55428.29992091428,0.185596889969717,246,1.434316345694242,5.358367627714983e-12,0.0,0.23448583483695984,0.017258116975426674

55432.957810491236,0.1915272464820548,248,1.9895858827112534,5.358367627021837e-12,0.0,0.16932685673236847,0.016997080296278

55435.8446976369,0.19565469684923714,251,1.2602079380030773,5.358367625656572e-12,0.0,0.2220132201910019,0.01806970313191414

55438.76595912302,0.20620472820135496,249,0.9401474443393454,5.358367624974451e-12,0.0,0.2500837743282318,0.016927998512983322

55443.418647164355,0.22147216048002746,310,1.0193645749723146,5.358367624967689e-12,0.0,0.2540883421897888,0.015181249007582664

55446.2859597758,0.22927855529726618,350,0.9740283957171414,5.358367629491046e-12,0.0,0.24850808084011078,0.014040663838386536

55449.19351235558,0.2357399383382042,371,0.8304644438794639,5.358367625633383e-12,0.0,0.27901849150657654,0.013326018117368221

55453.85459837741,0.24457403349254975,374,1.3701314571790135,5.358367626828548e-12,0.0,0.18579503893852234,0.014463184401392937

55456.732598266644,0.25510906188883914,318,1.1742916683488147,5.358367627597283e-12,0.0,0.2228592336177826,0.01672840490937233

55467.1832401616,0.25626011865883297,248,2.5873785602925636,5.358367624137896e-12,0.0,0.1156635731458664,0.017362143844366074

55480.54060144441,0.2887731836594709,255,1.1218374851296176,5.358367627014825e-12,0.0,0.19254298508167267,0.01605062372982502

55485.20054213425,0.292907933664019,251,3.7137442632229067,5.358367627102474e-12,0.0,0.12199338525533676,0.018734553828835487

55488.087696328956,0.2925238218712659,260,2.31101509484688,5.358367626072829e-12,0.0,0.12142293900251389,0.016662586480379105

55491.00725517437,0.29131883416995896,256,1.6176001338408241,5.358367624802221e-12,0.0,0.17828205227851868,0.01699092797935009

55495.65176427456,0.2873316520158297,287,2.881419902678317,-8.351937740957986e-22,0.0,0.11172052472829819,0.015810266137123108

55498.52394500171,0.28999126584408746,332,1.3275989374506025,2.27205593028112e-21,0.0,0.21543575823307037,0.015454202890396118

55501.44023773458,0.28974735507566246,357,0.8129764950126628,2.82519460046994e-21,0.0,0.2753676474094391,0.013892830349504948

55506.11627448965,0.290671715010984,356,1.5684157972373214,1.7375138405688923e-21,0.0,0.15485577285289764,0.014236914925277233

55508.99593541552,0.2902346617709337,357,1.4521592106575554,-1.1642806528008625e-21,0.0,0.1505843847990036,0.014528884552419186

55511.87891686572,0.2887222935807578,314,1.034764025575896,1.663001783101662e-21,0.0,0.2615257799625397,0.015254223719239235

55516.54376908692,0.2878478312420719,292,1.6678443159889866,-1.990745215102864e-21,0.0,0.17087841033935547,0.015938015654683113

55519.42495006361,0.2892463048593666,267,1.0341587852735756,-1.6900426438647096e-21,0.0,0.26310351490974426,0.015951603651046753

55522.34530963868,0.2892344325770472,216,0.8536758144828127,-1.1259121632500361e-21,0.0,0.3146201968193054,0.016727307811379433

55526.991513876506,0.2894692480051568,218,1.5170897427196905,1.4194694741253626e-21,0.0,0.19705606997013092,0.015890508890151978

55529.86543657711,0.2918350196367274,235,0.6845319688864038,-3.246464020007111e-22,0.0,0.405874103307724,0.01680058427155018

55532.77542205296,0.2921613034688809,231,0.5892151833108983,-1.87903174514591e-21,0.0,0.44167762994766235,0.016292650252580643

55537.43908487068,0.2896491611160994,226,2.294271723712882,-2.0789110871647645e-21,0.0,0.15176254510879517,0.016400175169110298

55540.348257330304,0.2862079259625339,255,2.7527701718099706,-8.666121331413462e-22,0.0,0.09096294641494751,0.015279030427336693

55558.33368127833,0.28961002001044267,379,2.967905743389565,-1.8486368324112663e-12,0.0,0.08344244211912155,0.012823876924812794

55564.116092582386,0.28468876872201204,332,2.1624633461669873,-1.848636833920661e-12,0.0,0.10778044909238815,0.013310044072568417

55574.58584921931,0.27933690530492217,255,2.539719048400002,-1.848636835405444e-12,0.0,0.10120590776205063,0.016638953238725662

55579.2313826319,0.2738409439716552,248,1.7764870108294417,-1.8486368333014036e-12,0.0,0.11150103807449341,0.016004588454961777

55582.11588341558,0.2755756240768331,251,0.9238927134447295,-1.8486368312446323e-12,0.0,0.27474313974380493,0.015966439619660378

55585.00993382688,0.2742557124962645,252,1.8104096000115533,-1.8486368305092316e-12,0.0,0.1495695561170578,0.0159592404961586

55595.459773133065,0.2675558096675175,242,1.400513838234474,-1.848636832160935e-12,0.0,0.2100270688533783,0.01668785884976387

55610.57733597046,0.2615986976664287,373,1.9515286453497538,-1.848636829843954e-12,0.0,0.12219101935625076,0.013771782629191875

55613.43764774368,0.261356354228565,401,1.2982192743038468,-1.8486368336387894e-12,0.0,0.20973414182662964,0.013107521459460258

55623.90479221743,0.25299059257472384,296,1.7575466415564733,-1.8486368314685018e-12,0.0,0.13206757605075836,0.015141429379582405

55644.77411809732,0.23647109523800988,240,1.7491353787590924,-1.8486368321129534e-12,0.0,0.1426514983177185,0.01891130767762661

55655.22533602303,0.2280280461825785,259,2.6626580051924975,-1.8486368302543178e-12,0.0,0.19361194968223572,0.01699228584766388

55665.667241528936,0.2255735749576809,364,1.648943026566485,-1.8486368293618703e-12,0.0,0.19085276126861572,0.02554464153945446

55673.25076270545,0.21044505918014583,278,1.9410616403092718,-1.8486368299540464e-12,0.0,0.11409801989793777,0.016785362735390663

55699.91717370572,0.20065152222739588,208,2.7682298764375446,-1.848636839365097e-12,0.0,0.12015119194984436,0.01671387255191803

55704.613476095066,0.20129471003747407,252,2.4932992914727947,-1.8486368309248543e-12,0.0,0.1024920865893364,0.015745043754577637

55707.46074979758,0.20266718512459017,247,5.333903345672297,-1.8486368320172246e-12,0.0,0.13992860913276672,0.015966929495334625

55710.4014323047,0.20402244790642146,123,6.052966909919633,-1.8486368285530766e-12,0.0,0.18018107116222382,0.02654562145471573

55715.04087067796,0.2023079733370926,330,2.158850946898383,-1.848636827180169e-12,0.0,0.14179407060146332,0.014527663588523865

55717.898605095324,0.20129930880401145,362,2.1835374752754433,-1.848636825555148e-12,0.0,0.10552866756916046,0.014270665124058723

55738.79439204257,0.1914042917372804,273,2.322128267451262,-1.8486368307865326e-12,0.0,0.13182546198368073,0.014946010895073414

55741.71390627535,0.18833897110046655,221,2.6814595344148984,-1.8486368309780774e-12,0.0,0.13297681510448456,0.01741197519004345

55746.38844386484,0.1846079322424455,239,2.3843188046157593,-1.8486368281282067e-12,0.0,0.1801016628742218,0.017836716026067734

55749.24733168581,0.1845364650656629,248,0.9669157208236356,-1.8486368348457304e-12,0.0,0.33906102180480957,0.017318038269877434

55759.71039341384,0.18331565911917236,284,3.4279227634215204,7.367755483753347e-12,0.0,0.10224776715040207,0.01600075699388981

55762.62517839072,0.18612458011193983,275,1.4226243649773096,7.367755486530673e-12,0.0,0.21203383803367615,0.016877099871635437

55767.273130398426,0.19470215017342937,338,2.4270281073768274,7.367755493180096e-12,0.0,0.14459910988807678,0.017010556533932686

55770.15757723093,0.197114257038078,391,1.2940760996116296,7.36775548673475e-12,0.0,0.2077512890100479,0.01400904543697834

55773.046797986644,0.20390345158196768,383,1.1869961014099317,7.367755484310761e-12,0.0,0.20452944934368134,0.01321739424020052

55777.7212875169,0.2188387339864382,295,1.0796318150596562,7.367755486830803e-12,0.0,0.24212521314620972,0.016108885407447815

55780.60676298632,0.22695802798522974,293,0.881984192346863,7.367755489812044e-12,0.0,0.26878708600997925,0.016076695173978806

55783.49377767428,0.2363027153825701,288,0.7226687159800349,7.367755487012506e-12,0.0,0.3213712275028229,0.015338604338467121

55788.17326507474,0.2496030148965018,254,1.4076724141887098,-1.3395919083066384e-12,0.0,0.24196623265743256,0.01650751568377018

55791.03364467498,0.25506094297261184,238,0.7621579811711854,-1.3395919090692933e-12,0.0,0.32110700011253357,0.01740659587085247

55793.945928788446,0.24724844141216537,250,2.4962849920484587,-1.3395919096506474e-12,0.0,0.12066838145256042,0.01692437008023262

